shortest to longest half-life,isotopeName,Symbol,massNumber,atomicMassSpecific,percentAbundance,elementName,atomicNumber,neutrons,stable,halfLife-years,halfLife-power10years,halfLife-days,halfLife-hours,halfLife-minutes,halfLife-seconds,halfLife-power10seconds
181,thorium-230,Th,,,,thorium,90,,,75.38,3,,,,,
220,thorium-232,Th,,,,thorium,90,,,14.056,9,,,,,
178,protactinium-231,Pa,,,,protactinium,91,,,32.76,3,,,,,
153,uranium-232,U,,,,uranium,92,,,68.9,0,,,,,
185,uranium-233,U,,,,uranium,92,,,159.2,3,,,,,
190,uranium-234,U,,,,uranium,92,,,245.5,3,,,,,
217,uranium-235,U,,,,uranium,92,,,703.8,6,,,,,
213,uranium-236,U,,,,uranium,92,,,23.42,6,,,,,
219,uranium-238,U,,,,uranium,92,,,4.468,9,,,,,
136,neptunium-235,Np,,,,neptunium,93,,,1.084,0,,,,,
184,neptunium-236,Np,,,,neptunium,93,,,154,3,,,,,
201,neptunium-237,Np,,,,neptunium,93,,,2.144,6,,,,,
106,neptunium-239,Np,,,,neptunium,93,,,,,2.356,,,,
154,plutonium-238,Pu,,,,Plutonium,94,,,87.7,0,,,,,
177,plutonium-239,Pu,,,,plutonium,94,,,24110,0,,,,,
171,plutonium-240,Pu,,,,plutonium,94,,,6563,0,,,,,
191,plutonium-242,Pu,,,,plutopium,94,,,272.3,3,,,,,
216,plutonium-244,Pu,,,,plutonium,94,,,80,6,,,,,
161,americium-241,Am,241,,,Americium,95,,,432.2,0,,,,,
173,americium-243,Am,243,,,Americium,95,,,7370,0,,,,,
150,curium-243,Cm,,,,curium,96,,,29.1,0,,,,,
174,curium-245,Cm,,,,curium,96,,,8500,0,,,,,
169,curium-246,Cm,,,,curium,96,,,4730,0,,,,,
211,curium-247,Cm,,,,curium,96,,,15.6,6,,,,,
193,curium-248,Cm,,,,curium,96,,,340,3,,,,,
175,curium-250,Cm,,,,curium,96,,,9000,0,,,,,
165,berkelium-247,Bk,,,,Berkelium,97,,,1380,0,,,,,
134,californium-248,Cf,,,,Californium,98,,,,,333.5,,,,
159,californium-249,Cf,,,,Californium,98,,,351,0,,,,,
146,californium-250,Cf,,,,Californium,98,,,13.08,0,,,,,
163,californium-251,Cf,,,,Californium,98,,,898,0,,,,,
117,californium-253,Cf,,,,Californium,98,,,,,17.81,,,,
121,californium-254,Cf,,,,Californium,98,,,,,60.5,,,,
,einsteinium-252,Es,252,252.083,,einsteinium,99,,,,,,,,,
,einsteinium-253,Es,253,253.085,,einsteinium,99,,,,,,,,,
,einsteinium-254,Es,254,254.088,,einsteinium,99,,,,,,,,,
,einsteinium-255,Es,255,255.090,,einsteinium,99,,,,,,,,,
,einsteinium-257,Es,257,257.096,,einsteinium,99,,,,,,,,,
41,fermium-241,Fm,,,,fermium,100,,,,,,,,730,-6
43,fermium-242,Fm,,,,fermium,100,,,,,,,,800,-6
103,fermium-252,Fm,,,,fermium,100,,,,,1.058,,,,
107,fermium-253,Fm,,,,fermium,100,,,,,3,,,,
126,fermium-257,Fm,,,,fermium,100,,,,,100.5,,,,
39,fermium-258,Fm,,,,fermium,100,,,,,,,,370,-6
100,mendelevium-257,Md,,,,mendelevium,101,,,,,,5.52,,,
119,mendelevium-258,Md,,,,mendelevium,101,,,,,51.5,,,,
31,nobelium-250,No,,,,nobelium,102,,,,,,,,5.7,-6
94,nobelium-253,No,,,,nobelium,102,,,,,,,1.62,,
98,nobelium-259,No,,,,nobelium,102,,,,,,,58,,
89,dubnium-261,Db,,,,dubnium,105,,,,,,,,27,0
91,dubnium-262,Db,,,,dubnium,105,,,,,,,,34,0
90,seaborgium-266,Sg,,,,seaborgium,106,,,,,,,,30,0
66,bohrium-262,Bh,,,,Bohrium,107,,,,,,,,102,-3
32,rutherfordium-254,Rf,,,,rutherfordium,107,,,,,,,,23,-6
93,rutherfordium-261,Rf,,,,rutherfordium,107,,,,,,,1.35,,
209,hafnium-182,Hs,,,,hafnium,108,,,9,6,,,,,
42,hassium-263,Hs,,,,hassium,108,,,,,,,,760,-6
40,hassium-264,Hs,,,,hassium,108,,,,,,,,540,-6
45,hassium-265,Hs,,,,hassium,108,,,,,,,,2,-3
47,meitnerium-266,Mt,,,,meitnerium,109,,,,,,,,3.4,-3
30,darmstadtium-267,Ds,,,,darmstadtium,110,,,,,,,,3,-6
36,darmstadtium-269,Ds,,,,darmstadtium,110,,,,,,,,230,-6
33,darmstadtium-270,Ds,,,,darmstadtium,110,,,,,,,,160,-6
35,darmstadtium-273,Ds,,,,darmstadtium,110,,,,,,,,170,-6
37,copernicium-277,Cn,,,,copernicium,112,,,,,,,,240,-6
38,nihonium-278,Nh,,,,nihonium,113,,,,,,,,340,-6
80,flerovium-289,Fl,,,,flerovium,114,,,,,,,,2.6,0
44,oganesson-294,Og,,,,oganesson,118,,,,,,,,890,-6
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
